Running actual FTC event from matches and results
Match	Color	Team1	Team2	Score	PPM1	PPM2	PPMtot	Score-PPMtot
1	Red	11115	10435	555	374.7	264.7	639.5	-84.5
1	Blue	12531	11316	362	203.8	215.1	418.9	-56.9
2	Red	12231	4924	415	256.5	156.9	413.4	1.6
2	Blue	5037	10273	289	140.5	170.1	310.5	-21.5
3	Red	13426	8479	388	75.1	282.2	357.3	30.7
3	Blue	6051	5962	287	104.1	130.7	234.8	52.2
4	Red	7093	11248	75	45.0	85.3	130.3	-55.3
4	Blue	11095	8813	239	149.6	53.4	203.0	36.0
5	Red	13906	4174	225	123.5	179.8	303.3	-78.3
5	Blue	9445	11184	85	115.8	68.9	184.7	-99.7
6	Red	11525	10582	171	153.0	124.6	277.6	-106.6
6	Blue	10091	3954	340	237.6	158.8	396.4	-56.4
7	Red	12773	4177	285	122.0	162.6	284.6	0.4
7	Blue	12835	14320	419	209.9	168.6	378.5	40.5
8	Red	4318	3763	309	142.4	190.3	332.7	-23.7
8	Blue	10030	6010	255	167.9	197.7	365.6	-110.6
9	Red	8719	7149	225	114.3	233.3	347.6	-122.6
9	Blue	12589	5975	409	233.2	180.3	413.5	-4.5
10	Red	5291	13917	244	165.5	165.0	330.5	-86.5
10	Blue	11047	9971	375	181.5	268.0	449.5	-74.5
11	Red	10918	7129	405	210.4	192.7	403.2	1.8
11	Blue	9956	9984	254	180.4	134.9	315.4	-61.4
12	Red	14568	6055	365	132.1	212.0	344.1	20.9
12	Blue	6369	6567	340	172.5	157.6	330.1	9.9
13	Red	3216	365	260	121.3	81.6	202.9	57.1
13	Blue	6931	5842	240	185.6	56.1	241.7	-1.7
14	Red	14270	4130	223	301.8	51.1	352.9	-129.9
14	Blue	11301	8644	375	154.7	224.0	378.7	-3.7
15	Red	8528	9890	90	56.4	71.4	127.7	-37.7
15	Blue	5485	11808	410	225.5	164.1	389.6	20.4
16	Red	7035	6440	80	73.5	94.0	167.4	-87.4
16	Blue	7190	9168	324	138.6	132.2	270.8	53.2
17	Red	4347	10738	390	158.9	193.8	352.7	37.3
17	Blue	10144	8680	484	196.6	267.9	464.5	19.5
18	Red	11302	5143	273	131.6	157.8	289.5	-16.5
18	Blue	16142	11691	227	104.0	199.8	303.8	-76.8
19	Red	6007	9862	292	146.9	119.2	266.1	25.9
19	Blue	13247	9867	268	143.2	171.9	315.1	-47.1
20	Red	9794	252	190	180.9	116.5	297.4	-107.4
20	Blue	12538	10376	369	208.6	123.5	332.0	37.0
21	Red	13426	10091	410	75.1	237.6	312.7	97.3
21	Blue	11047	12531	365	181.5	203.8	385.3	-20.3
22	Red	5962	8719	165	130.7	114.3	245.0	-80.0
22	Blue	4174	3763	365	179.8	190.3	370.1	-5.1
23	Red	12231	3954	395	256.5	158.8	415.3	-20.3
23	Blue	13917	4318	285	165.0	142.4	307.4	-22.4
24	Red	12773	10030	202	122.0	167.9	289.8	-87.8
24	Blue	9984	10582	250	134.9	124.6	259.6	-9.6
25	Red	8479	5037	442	282.2	140.5	422.6	19.4
25	Blue	5975	11316	370	180.3	215.1	395.3	-25.3
26	Red	11115	9956	567	374.7	180.4	555.1	11.9
26	Blue	9445	11095	250	115.8	149.6	265.3	-15.3
27	Red	5842	7190	38	56.1	138.6	194.7	-156.7
27	Blue	11301	12835	370	154.7	209.9	364.6	5.4
28	Red	12589	4347	335	233.2	158.9	392.2	-57.2
28	Blue	7093	8528	10	45.0	56.4	101.4	-91.4
29	Red	8644	6369	425	224.0	172.5	396.5	28.5
29	Blue	14320	11302	274	168.6	131.6	300.2	-26.2
30	Red	6051	7129	261	104.1	192.7	296.8	-35.8
30	Blue	9862	6567	287	119.2	157.6	276.8	10.2
31	Red	16142	14568	280	104.0	132.1	236.1	43.9
31	Blue	9794	4177	390	180.9	162.6	343.5	46.5
32	Red	3216	8680	282	121.3	267.9	389.2	-107.2
32	Blue	4924	11248	195	156.9	85.3	242.2	-47.2
33	Red	5485	8813	290	225.5	53.4	278.9	11.1
33	Blue	10273	7035	279	170.1	73.5	243.5	35.5
34	Red	11808	11525	269	164.1	153.0	317.1	-48.1
34	Blue	5143	7149	350	157.8	233.3	391.2	-41.2
35	Red	10376	6440	285	123.5	94.0	217.5	67.5
35	Blue	9867	4130	258	171.9	51.1	223.0	35.0
36	Red	13906	10738	310	123.5	193.8	317.2	-7.2
36	Blue	252	9971	395	116.5	268.0	384.5	10.5
37	Red	6931	6010	382	185.6	197.7	383.3	-1.3
37	Blue	13247	10918	352	143.2	210.4	353.6	-1.6
38	Red	9890	11184	110	71.4	68.9	140.2	-30.2
38	Blue	14270	6055	525	301.8	212.0	513.8	11.2
39	Red	365	12538	292	81.6	208.6	290.2	1.8
39	Blue	11691	6007	422	199.8	146.9	346.7	75.3
40	Red	9168	10144	321	132.2	196.6	328.9	-7.9
40	Blue	5291	10435	377	165.5	264.7	430.3	-53.3
41	Red	6567	10030	340	157.6	167.9	325.4	14.6
41	Blue	7190	5975	220	138.6	180.3	318.9	-98.9
42	Red	9862	8719	188	119.2	114.3	233.4	-45.4
42	Blue	8528	5842	160	56.4	56.1	112.4	47.6
43	Red	8644	3954	480	224.0	158.8	382.8	97.2
43	Blue	12531	12589	470	203.8	233.2	437.1	32.9
44	Red	8479	3763	482	282.2	190.3	472.4	9.6
44	Blue	9794	11115	570	180.9	374.7	555.6	14.4
45	Red	6051	4924	250	104.1	156.9	261.0	-11.0
45	Blue	9984	4174	350	134.9	179.8	314.8	35.2
46	Red	14320	7093	157	168.6	45.0	213.6	-56.6
46	Blue	11301	10273	262	154.7	170.1	324.8	-62.8
47	Red	5143	9445	300	157.8	115.8	273.6	26.4
47	Blue	5037	9971	412	140.5	268.0	408.4	3.6
48	Red	10091	11302	432	237.6	131.6	369.2	62.8
48	Blue	12773	6010	335	122.0	197.7	319.7	15.3
49	Red	9867	10582	330	171.9	124.6	296.6	33.4
49	Blue	16142	9890	144	104.0	71.4	175.4	-31.4
50	Red	8813	13426	102	53.4	75.1	128.5	-26.5
50	Blue	6369	13906	257	172.5	123.5	296.0	-39.0
51	Red	11691	10376	210	199.8	123.5	323.3	-113.3
51	Blue	3216	10918	307	121.3	210.4	331.8	-24.8
52	Red	9956	6007	292	180.4	146.9	327.3	-35.3
52	Blue	4347	12231	405	158.9	256.5	415.5	-10.5
53	Red	13917	9168	345	165.0	132.2	297.2	47.8
53	Blue	11248	12835	153	85.3	209.9	295.2	-142.2
54	Red	4318	10435	444	142.4	264.7	407.2	36.8
54	Blue	6055	10738	360	212.0	193.8	405.8	-45.8
55	Red	12538	11184	287	208.6	68.9	277.4	9.6
55	Blue	6931	14568	357	185.6	132.1	317.7	39.3
56	Red	11316	252	305	215.1	116.5	331.6	-26.6
56	Blue	11808	4130	267	164.1	51.1	215.2	51.8
57	Red	4177	14270	345	162.6	301.8	464.4	-119.4
57	Blue	7035	11525	265	73.5	153.0	226.4	38.6
58	Red	5291	8680	522	165.5	267.9	433.4	88.6
58	Blue	5485	7129	464	225.5	192.7	418.2	45.8
59	Red	11095	5962	317	149.6	130.7	280.3	36.7
59	Blue	6440	11047	266	94.0	181.5	275.5	-9.5
60	Red	13247	7149	365	143.2	233.3	376.5	-11.5
60	Blue	365	10144	321	81.6	196.6	278.3	42.7
61	Red	6051	8813	206	104.1	53.4	157.5	48.5
61	Blue	14320	9445	290	168.6	115.8	284.4	5.6
62	Red	10273	9862	286	170.1	119.2	289.2	-3.2
62	Blue	10091	10376	330	237.6	123.5	361.1	-31.1
63	Red	7190	8644	360	138.6	224.0	362.6	-2.6
63	Blue	7093	11691	350	45.0	199.8	244.8	105.2
64	Red	5037	9956	347	140.5	180.4	320.9	26.1
64	Blue	9168	16142	245	132.2	104.0	236.2	8.8
65	Red	3216	11115	405	121.3	374.7	496.0	-91.0
65	Blue	3954	13426	112	158.8	75.1	233.9	-121.9
66	Red	6007	8528	172	146.9	56.4	203.2	-31.2
66	Blue	12773	13906	254	122.0	123.5	245.4	8.6
67	Red	12835	9867	372	209.9	171.9	381.8	-9.8
67	Blue	12231	8719	415	256.5	114.3	370.8	44.2
68	Red	13917	12589	430	165.0	233.2	398.2	31.8
68	Blue	3763	10738	385	190.3	193.8	384.0	1.0
69	Red	8680	11808	425	267.9	164.1	432.0	-7.0
69	Blue	6931	5975	380	185.6	180.3	365.9	14.1
70	Red	8479	11047	451	282.2	181.5	463.7	-12.7
70	Blue	5842	4177	104	56.1	162.6	218.7	-114.7
71	Red	11095	9794	212	149.6	180.9	330.4	-118.4
71	Blue	11184	5485	239	68.9	225.5	294.3	-55.3
72	Red	11248	14568	178	85.3	132.1	217.4	-39.4
72	Blue	6440	9984	283	94.0	134.9	228.9	54.1
73	Red	4924	10435	417	156.9	264.7	421.6	-4.6
73	Blue	5962	12538	295	130.7	208.6	339.3	-44.3
74	Red	6010	11301	400	197.7	154.7	352.4	47.6
74	Blue	12531	6055	419	203.8	212.0	415.9	3.1
75	Red	4130	4174	222	51.1	179.8	230.9	-8.9
75	Blue	6567	5291	347	157.6	165.5	323.1	23.9
76	Red	6369	13247	329	172.5	143.2	315.7	13.3
76	Blue	4347	9971	430	158.9	268.0	426.9	3.1
77	Red	7149	10030	392	233.3	167.9	401.2	-9.2
77	Blue	7129	11302	337	192.7	131.6	324.4	12.6
78	Red	9890	252	194	71.4	116.5	187.8	6.2
78	Blue	11525	10918	327	153.0	210.4	363.4	-36.4
79	Red	10144	5143	357	196.6	157.8	354.5	2.5
79	Blue	10582	14270	480	124.6	301.8	426.4	53.6
80	Red	11316	4318	341	215.1	142.4	357.5	-16.5
80	Blue	7035	365	94	73.5	81.6	155.1	-61.1
81	Red	5842	11808	261	56.1	164.1	220.2	40.8
81	Blue	8813	13917	159	53.4	165.0	218.4	-59.4
82	Red	8644	9168	260	224.0	132.2	356.3	-96.3
82	Blue	12231	8680	615	256.5	267.9	524.4	90.6
83	Red	9867	10273	339	171.9	170.1	342.0	-3.0
83	Blue	3763	11184	269	190.3	68.9	259.2	9.8
84	Red	10376	5037	199	123.5	140.5	263.9	-64.9
84	Blue	4177	9984	315	162.6	134.9	297.6	17.4
85	Red	8528	6010	264	56.4	197.7	254.0	10.0
85	Blue	10435	3216	385	264.7	121.3	386.1	-1.1
86	Red	5485	12538	444	225.5	208.6	434.0	10.0
86	Blue	11047	5975	445	181.5	180.3	361.8	83.2
87	Red	11095	7190	400	149.6	138.6	288.2	111.8
87	Blue	6055	6051	245	212.0	104.1	316.1	-71.1
88	Red	6931	13906	326	185.6	123.5	309.1	16.9
88	Blue	11248	14320	280	85.3	168.6	253.9	26.1
89	Red	9971	16142	390	268.0	104.0	372.0	18.0
89	Blue	5962	6007	287	130.7	146.9	277.6	9.4
90	Red	13426	7129	197	75.1	192.7	267.8	-70.8
90	Blue	9890	14568	160	71.4	132.1	203.5	-43.5
91	Red	10738	11115	620	193.8	374.7	568.5	51.5
91	Blue	4174	365	169	179.8	81.6	261.4	-92.4
92	Red	10144	10091	400	196.6	237.6	434.2	-34.2
92	Blue	252	6369	257	116.5	172.5	289.0	-32.0
93	Red	4130	11691	243	51.1	199.8	250.9	-7.9
93	Blue	9956	8479	460	180.4	282.2	462.6	-2.6
94	Red	6567	11301	286	157.6	154.7	312.3	-26.3
94	Blue	11525	8719	357	153.0	114.3	267.3	89.7
95	Red	7035	12531	311	73.5	203.8	277.3	33.7
95	Blue	4347	12835	439	158.9	209.9	368.8	70.2
96	Red	4318	7093	195	142.4	45.0	187.4	7.6
96	Blue	6440	5291	287	94.0	165.5	259.5	27.5
97	Red	10030	3954	407	167.9	158.8	326.6	80.4
97	Blue	11316	5143	404	215.1	157.8	372.9	31.1
98	Red	7149	12773	387	233.3	122.0	355.3	31.7
98	Blue	10918	14270	555	210.4	301.8	512.2	42.8
99	Red	12589	9794	430	233.2	180.9	414.1	15.9
99	Blue	11302	13247	294	131.6	143.2	274.8	19.2
100	Red	10582	9862	216	124.6	119.2	243.8	-27.8
100	Blue	9445	4924	332	115.8	156.9	272.6	59.4
101	Red	6010	10376	360	197.7	123.5	321.2	38.8
101	Blue	6051	5842	208	104.1	56.1	160.2	47.8
102	Red	11115	5962	483	374.7	130.7	505.4	-22.4
102	Blue	6055	8644	450	212.0	224.0	436.1	13.9
103	Red	11184	10091	322	68.9	237.6	306.5	15.5
103	Blue	11248	7190	275	85.3	138.6	223.9	51.1
104	Red	14568	6007	271	132.1	146.9	279.0	-8.0
104	Blue	5485	10144	369	225.5	196.6	422.1	-53.1
105	Red	8680	13917	482	267.9	165.0	432.9	49.1
105	Blue	8528	11691	334	56.4	199.8	256.1	77.9
106	Red	11095	6931	298	149.6	185.6	335.2	-37.2
106	Blue	9867	8479	470	171.9	282.2	454.1	15.9
107	Red	8719	13906	259	114.3	123.5	237.7	21.3
107	Blue	9890	9168	215	71.4	132.2	203.6	11.4
108	Red	7035	9984	103	73.5	134.9	208.4	-105.4
108	Blue	5143	6369	305	157.8	172.5	330.3	-25.3
109	Red	11047	11316	432	181.5	215.1	396.6	35.4
109	Blue	7149	11301	400	233.3	154.7	388.1	11.9
110	Red	10918	4347	279	210.4	158.9	369.4	-90.4
110	Blue	13426	16142	150	75.1	104.0	179.1	-29.1
111	Red	9445	4177	340	115.8	162.6	278.4	61.6
111	Blue	4318	6567	290	142.4	157.6	300.0	-10.0
112	Red	4924	10738	232	156.9	193.8	350.6	-118.6
112	Blue	10030	9794	417	167.9	180.9	348.7	68.3
113	Red	11525	365	266	153.0	81.6	234.6	31.4
113	Blue	14320	12589	360	168.6	233.2	401.8	-41.8
114	Red	5037	4130	178	140.5	51.1	191.6	-13.6
114	Blue	7129	7093	222	192.7	45.0	237.7	-15.7
115	Red	9971	3954	420	268.0	158.8	426.7	-6.7
115	Blue	11302	14270	385	131.6	301.8	433.4	-48.4
116	Red	10273	13247	330	170.1	143.2	313.3	16.7
116	Blue	10582	10435	400	124.6	264.7	389.4	10.6
117	Red	3216	9862	280	121.3	119.2	240.5	39.5
117	Blue	252	12773	302	116.5	122.0	238.5	63.5
118	Red	3763	5975	396	190.3	180.3	370.5	25.5
118	Blue	12231	5291	405	256.5	165.5	422.1	-17.1
119	Red	12835	12538	435	209.9	208.6	418.5	16.5
119	Blue	8813	6440	127	53.4	94.0	147.4	-20.4
120	Red	12531	9956	399	203.8	180.4	384.2	14.8
120	Blue	4174	11808	362	179.8	164.1	344.0	18.0
121	Red	6010	11316	425	197.7	215.1	412.8	12.2
121	Blue	9168	13426	252	132.2	75.1	207.3	44.7
122	Red	16142	9984	255	104.0	134.9	238.9	16.1
122	Blue	13906	11095	305	123.5	149.6	273.0	32.0
123	Red	6055	7035	299	212.0	73.5	285.5	13.5
123	Blue	8719	8479	390	114.3	282.2	396.4	-6.4
124	Red	10091	9867	238	237.6	171.9	409.5	-171.5
124	Blue	13917	7149	414	165.0	233.3	398.3	15.7
125	Red	10030	8528	166	167.9	56.4	224.2	-58.2
125	Blue	11525	5962	365	153.0	130.7	283.7	81.3
126	Red	4130	6051	248	51.1	104.1	155.2	92.8
126	Blue	6007	6931	249	146.9	185.6	332.5	-83.5
127	Red	12589	5842	351	233.2	56.1	289.3	61.7
127	Blue	6369	10582	257	172.5	124.6	297.1	-40.1
128	Red	6567	14320	324	157.6	168.6	326.2	-2.2
128	Blue	10435	4347	475	264.7	158.9	423.7	51.3
129	Red	14270	9445	455	301.8	115.8	417.6	37.4
129	Blue	14568	3763	385	132.1	190.3	322.4	62.6
130	Red	4177	12231	492	162.6	256.5	419.1	72.9
130	Blue	11302	5485	363	131.6	225.5	357.1	5.9
131	Red	11808	4318	284	164.1	142.4	306.5	-22.5
131	Blue	9794	7129	395	180.9	192.7	373.6	21.4
132	Red	11301	5291	309	154.7	165.5	320.2	-11.2
132	Blue	252	8813	208	116.5	53.4	169.9	38.1
133	Red	9971	12531	507	268.0	203.8	471.8	35.2
133	Blue	12538	11248	327	208.6	85.3	293.9	33.1
134	Red	10738	12835	364	193.8	209.9	403.7	-39.7
134	Blue	7093	10376	290	45.0	123.5	168.5	121.5
135	Red	5143	12773	282	157.8	122.0	279.8	2.2
135	Blue	11184	11115	503	68.9	374.7	443.6	59.4
136	Red	4924	10918	397	156.9	210.4	367.3	29.7
136	Blue	7190	11047	335	138.6	181.5	320.1	14.9
137	Red	3954	365	285	158.8	81.6	240.4	44.6
137	Blue	8680	10273	375	267.9	170.1	437.9	-62.9
138	Red	6440	13247	159	94.0	143.2	237.2	-78.2
138	Blue	5037	9890	226	140.5	71.4	211.8	14.2
139	Red	5975	9956	402	180.3	180.4	360.7	41.3
139	Blue	8644	3216	372	224.0	121.3	345.3	26.7
140	Red	11691	4174	418	199.8	179.8	379.6	38.4
140	Blue	10144	9862	367	196.6	119.2	315.8	51.2
141	Red	8479	12231	480	282.2	256.5	538.7	-58.7
141	Blue	10582	6010	382	124.6	197.7	322.3	59.7
142	Red	6369	11808	322	172.5	164.1	336.6	-14.6
142	Blue	3763	9168	245	190.3	132.2	322.5	-77.5
143	Red	11316	11525	362	215.1	153.0	368.1	-6.1
143	Blue	7129	9867	415	192.7	171.9	364.6	50.4
144	Red	8528	13426	162	56.4	75.1	131.5	30.5
144	Blue	7149	6931	445	233.3	185.6	419.0	26.0
145	Red	5291	6051	205	165.5	104.1	269.6	-64.6
145	Blue	10738	7035	373	193.8	73.5	267.2	105.8
146	Red	11184	12589	366	68.9	233.2	302.1	63.9
146	Blue	9971	4318	427	268.0	142.4	410.4	16.6
147	Red	14568	8813	105	132.1	53.4	185.5	-80.5
147	Blue	11115	10030	642	374.7	167.9	542.6	99.4
148	Red	10273	11248	352	170.1	85.3	255.4	96.6
148	Blue	5962	4347	270	130.7	158.9	289.6	-19.6
149	Red	5143	14320	327	157.8	168.6	326.4	0.6
149	Blue	13917	7190	352	165.0	138.6	303.6	48.4
150	Red	14270	16142	466	301.8	104.0	405.8	60.2
150	Blue	12835	4924	385	209.9	156.9	366.8	18.2
151	Red	11302	3216	257	131.6	121.3	253.0	4.0
151	Blue	12538	7093	211	208.6	45.0	253.6	-42.6
152	Red	10918	11301	410	210.4	154.7	365.2	44.8
152	Blue	13906	4177	294	123.5	162.6	286.1	7.9
153	Red	365	5485	245	81.6	225.5	307.1	-62.1
153	Blue	8719	10091	397	114.3	237.6	351.9	45.1
154	Red	5842	4174	284	56.1	179.8	235.9	48.1
154	Blue	6007	8644	379	146.9	224.0	370.9	8.1
155	Red	9890	9794	310	71.4	180.9	252.2	57.8
155	Blue	12531	10144	369	203.8	196.6	400.5	-31.5
156	Red	5975	11691	340	180.3	199.8	380.0	-40.0
156	Blue	3954	11095	252	158.8	149.6	308.3	-56.3
157	Red	9984	6055	374	134.9	212.0	347.0	27.0
157	Blue	9862	4130	131	119.2	51.1	170.3	-39.3
158	Red	12773	9445	206	122.0	115.8	237.7	-31.7
158	Blue	10435	6440	402	264.7	94.0	358.7	43.3
159	Red	8680	11047	422	267.9	181.5	449.4	-27.4
159	Blue	252	5037	278	116.5	140.5	257.0	21.0
160	Red	10376	6567	250	123.5	157.6	281.1	-31.1
160	Blue	9956	13247	372	180.4	143.2	323.6	48.4
161	Red	14270	5291	560	301.8	165.5	467.3	92.7
161	Blue	11316	8528	324	215.1	56.4	271.4	52.6
162	Red	9168	4347	307	132.2	158.9	291.2	15.8
162	Blue	14568	8479	419	132.1	282.2	414.3	4.7
163	Red	10582	7035	225	124.6	73.5	198.1	26.9
163	Blue	11808	11115	500	164.1	374.7	538.8	-38.8
164	Red	14320	8719	337	168.6	114.3	282.9	54.1
164	Blue	4318	10918	387	142.4	210.4	352.9	34.1
165	Red	5962	11302	249	130.7	131.6	262.3	-13.3
165	Blue	365	13906	243	81.6	123.5	205.1	37.9
166	Red	9971	11301	417	268.0	154.7	422.7	-5.7
166	Blue	9867	3216	390	171.9	121.3	293.2	96.8
167	Red	5975	10273	355	180.3	170.1	350.3	4.7
167	Blue	4174	13426	300	179.8	75.1	254.9	45.1
168	Red	11248	5485	388	85.3	225.5	310.8	77.2
168	Blue	11691	6051	245	199.8	104.1	303.9	-58.9
169	Red	10435	9794	447	264.7	180.9	445.6	1.4
169	Blue	4130	5143	229	51.1	157.8	208.9	20.1
170	Red	9862	12531	312	119.2	203.8	323.0	-11.0
170	Blue	10738	5037	350	193.8	140.5	334.2	15.8
171	Red	4177	7093	235	162.6	45.0	207.6	27.4
171	Blue	10091	4924	467	237.6	156.9	394.5	72.5
172	Red	12538	7190	326	208.6	138.6	347.2	-21.2
172	Blue	8680	9956	405	267.9	180.4	448.3	-43.3
173	Red	7129	16142	287	192.7	104.0	296.7	-9.7
