Match	Color	Team1	Team2	Score	PPM1	PPM2	PPMtot	Score-PPMtot
1	Red	9890	14270	368	71.4	301.8	373.2	-5.2
1	Blue	10376	6369	291	123.5	172.5	296.0	-5.0
2	Red	7093	11115	470	45.0	374.7	419.7	50.3
2	Blue	11184	14568	198	68.9	132.1	201.0	-3.0
3	Red	5485	11316	311	225.5	215.1	440.5	-129.5
3	Blue	7190	7035	219	138.6	73.5	212.1	6.9
4	Red	9867	8644	423	171.9	224.0	395.9	27.1
4	Blue	8813	5842	119	53.4	56.1	109.5	9.5
5	Red	4177	9445	288	162.6	115.8	278.4	9.6
5	Blue	3954	12835	150	158.8	209.9	368.7	-218.7
6	Red	9862	11808	300	119.2	164.1	283.3	16.7
6	Blue	8719	9984	254	114.3	134.9	249.2	4.8
7	Red	10030	3763	361	167.9	190.3	358.1	2.9
7	Blue	6440	10435	374	94.0	264.7	358.7	15.3
8	Red	12531	16142	335	203.8	104.0	307.8	27.2
8	Blue	8680	11301	379	267.9	154.7	422.6	-43.6
9	Red	4924	14320	365	156.9	168.6	325.5	39.5
9	Blue	5143	11525	272	157.8	153.0	310.8	-38.8
10	Red	11302	13917	291	131.6	165.0	296.6	-5.6
10	Blue	10918	13906	364	210.4	123.5	333.9	30.1
11	Red	5975	10273	429	180.3	170.1	350.3	78.7
11	Blue	3216	6010	335	121.3	197.7	319.0	16.0
12	Red	4130	6051	157	51.1	104.1	155.2	1.8
12	Blue	11047	10738	345	181.5	193.8	375.3	-30.3
13	Red	7149	4347	343	233.3	158.9	392.3	-49.3
13	Blue	10091	11095	402	237.6	149.6	387.2	14.8
14	Red	11691	12231	526	199.8	256.5	456.3	69.7
14	Blue	5291	13426	265	165.5	75.1	240.6	24.4
15	Red	6055	9168	385	212.0	132.2	344.3	40.7
15	Blue	10144	12589	453	196.6	233.2	429.9	23.1
16	Red	4318	365	193	142.4	81.6	224.0	-31.0
16	Blue	252	4174	340	116.5	179.8	296.3	43.7
17	Red	5962	5037	272	130.7	140.5	271.2	0.8
17	Blue	9794	6931	320	180.9	185.6	366.5	-46.5
18	Red	8479	6567	422	282.2	157.6	439.7	-17.7
18	Blue	9971	13247	388	268.0	143.2	411.2	-23.2
19	Red	6007	12538	287	146.9	208.6	355.5	-68.5
19	Blue	10582	11248	222	124.6	85.3	210.0	12.0
20	Red	12773	9956	208	122.0	180.4	302.4	-94.4
20	Blue	8528	7129	235	56.4	192.7	249.1	-14.1
21	Red	9867	6051	259	171.9	104.1	276.0	-17.0
21	Blue	9956	9862	226	180.4	119.2	299.6	-73.6
22	Red	4177	4318	350	162.6	142.4	305.0	45.0
22	Blue	9890	6931	233	71.4	185.6	257.0	-24.0
23	Red	4347	7190	254	158.9	138.6	297.5	-43.5
23	Blue	11115	12231	606	374.7	256.5	631.2	-25.2
24	Red	8680	7129	550	267.9	192.7	460.6	89.4
24	Blue	10435	3763	196	264.7	190.3	455.0	-259.0
25	Red	13426	7149	330	75.1	233.3	308.4	21.6
25	Blue	6567	11248	241	157.6	85.3	242.9	-1.9
26	Red	14320	7093	280	168.6	45.0	213.6	66.4
26	Blue	11808	11302	382	164.1	131.6	295.8	86.2
27	Red	9971	10273	434	268.0	170.1	438.1	-4.1
27	Blue	8813	9168	231	53.4	132.2	185.7	45.3
28	Red	10738	9794	248	193.8	180.9	374.6	-126.6
28	Blue	12531	12835	477	203.8	209.9	413.7	63.3
29	Red	16142	4174	364	104.0	179.8	283.8	80.2
29	Blue	11184	10918	288	68.9	210.4	279.3	8.7
30	Red	12773	6010	286	122.0	197.7	319.7	-33.7
30	Blue	11316	9445	341	215.1	115.8	330.8	10.2
31	Red	6440	4924	277	94.0	156.9	250.9	26.1
31	Blue	8644	5037	467	224.0	140.5	364.5	102.5
32	Red	10582	8719	315	124.6	114.3	238.9	76.1
32	Blue	5485	10030	516	225.5	167.9	393.3	122.7
33	Red	12538	11525	432	208.6	153.0	361.5	70.5
33	Blue	11047	252	347	181.5	116.5	298.0	49.0
34	Red	13917	9984	209	165.0	134.9	299.9	-90.9
34	Blue	11095	5291	296	149.6	165.5	315.1	-19.1
35	Red	4130	365	123	51.1	81.6	132.7	-9.7
35	Blue	11301	13247	296	154.7	143.2	297.9	-1.9
36	Red	6055	3216	259	212.0	121.3	333.4	-74.4
36	Blue	6007	10144	293	146.9	196.6	343.5	-50.5
37	Red	10376	13906	203	123.5	123.5	247.0	-44.0
37	Blue	12589	11691	331	233.2	199.8	433.0	-102.0
38	Red	5143	7035	231	157.8	73.5	231.3	-0.3
38	Blue	5962	14270	500	130.7	301.8	432.5	67.5
39	Red	6369	5842	262	172.5	56.1	228.6	33.4
39	Blue	8528	14568	173	56.4	132.1	188.5	-15.5
40	Red	5975	8479	354	180.3	282.2	462.4	-108.4
40	Blue	3954	10091	477	158.8	237.6	396.4	80.6
41	Red	6567	13917	352	157.6	165.0	322.6	29.4
41	Blue	5962	11095	321	130.7	149.6	280.3	40.7
42	Red	9168	14270	319	132.2	301.8	434.0	-115.0
42	Blue	4318	7190	274	142.4	138.6	281.0	-7.0
43	Red	6010	252	338	197.7	116.5	314.2	23.8
43	Blue	14320	14568	275	168.6	132.1	300.7	-25.7
44	Red	11302	9971	398	131.6	268.0	399.6	-1.6
44	Blue	6055	5842	277	212.0	56.1	268.1	8.9
45	Red	11047	10918	326	181.5	210.4	392.0	-66.0
45	Blue	8644	5975	417	224.0	180.3	404.3	12.7
46	Red	11115	10582	489	374.7	124.6	499.3	-10.3
46	Blue	4174	4347	358	179.8	158.9	338.8	19.2
47	Red	10091	9956	416	237.6	180.4	418.0	-2.0
47	Blue	12589	10738	442	233.2	193.8	427.0	15.0
48	Red	10144	13906	335	196.6	123.5	320.1	14.9
48	Blue	8479	3763	460	282.2	190.3	472.4	-12.4
49	Red	7149	5037	314	233.3	140.5	373.8	-59.8
49	Blue	3216	8719	281	121.3	114.3	235.6	45.4
50	Red	8528	5143	210	56.4	157.8	214.2	-4.2
50	Blue	10435	6440	348	264.7	94.0	358.7	-10.7
51	Red	8680	13426	320	267.9	75.1	343.0	-23.0
51	Blue	11808	4177	344	164.1	162.6	326.7	17.3
52	Red	12231	6051	408	256.5	104.1	360.6	47.4
52	Blue	11691	5291	336	199.8	165.5	365.3	-29.3
53	Red	8813	12538	250	53.4	208.6	262.0	-12.0
53	Blue	9867	11525	372	171.9	153.0	324.9	47.1
54	Red	9445	3954	318	115.8	158.8	274.5	43.5
54	Blue	12531	6007	336	203.8	146.9	350.7	-14.7
55	Red	4924	7129	358	156.9	192.7	349.6	8.4
55	Blue	11301	365	218	154.7	81.6	236.3	-18.3
56	Red	11248	9984	94	85.3	134.9	220.3	-126.3
56	Blue	16142	13247	270	104.0	143.2	247.2	22.8
57	Red	6369	11184	242	172.5	68.9	241.4	0.6
57	Blue	10376	5485	339	123.5	225.5	348.9	-9.9
58	Red	9794	6931	431	180.9	185.6	366.5	64.5
58	Blue	11316	9862	431	215.1	119.2	334.2	96.8
59	Red	12835	10273	455	209.9	170.1	380.0	75.0
59	Blue	9890	7093	123	71.4	45.0	116.4	6.6
60	Red	7035	4130	118	73.5	51.1	124.6	-6.6
60	Blue	10030	12773	309	167.9	122.0	289.8	19.2
61	Red	6567	8813	211	157.6	53.4	211.0	0.0
61	Blue	12531	11115	598	203.8	374.7	578.5	19.5
62	Red	8644	6010	355	224.0	197.7	421.7	-66.7
62	Blue	8479	7190	468	282.2	138.6	420.8	47.2
63	Red	11808	9890	156	164.1	71.4	235.5	-79.5
63	Blue	9956	3216	309	180.4	121.3	301.7	7.3
64	Red	14320	4318	349	168.6	142.4	311.0	38.0
64	Blue	11301	9984	305	154.7	134.9	289.7	15.3
65	Red	9445	5842	177	115.8	56.1	171.8	5.2
65	Blue	7093	12835	186	45.0	209.9	254.9	-68.9
66	Red	9867	6055	416	171.9	212.0	384.0	32.0
66	Blue	12538	13426	371	208.6	75.1	283.7	87.3
67	Red	4347	4924	382	158.9	156.9	315.8	66.2
67	Blue	10738	10144	438	193.8	196.6	390.4	47.6
68	Red	5291	12773	304	165.5	122.0	287.5	16.5
68	Blue	11047	5143	272	181.5	157.8	339.3	-67.3
69	Red	7035	5975	142	73.5	180.3	253.7	-111.7
69	Blue	6440	10273	310	94.0	170.1	264.0	46.0
70	Red	5962	10376	178	130.7	123.5	254.2	-76.2
70	Blue	4130	12231	370	51.1	256.5	307.6	62.4
71	Red	11691	11248	286	199.8	85.3	285.1	0.9
71	Blue	6007	8680	325	146.9	267.9	414.8	-89.8
72	Red	13906	10582	161	123.5	124.6	248.1	-87.1
72	Blue	13917	11525	393	165.0	153.0	318.0	75.0
73	Red	3954	12589	403	158.8	233.2	392.0	11.0
73	Blue	9971	13247	445	268.0	143.2	411.2	33.8
74	Red	11184	5037	183	68.9	140.5	209.4	-26.4
74	Blue	9168	3763	232	132.2	190.3	322.5	-90.5
75	Red	10091	365	351	237.6	81.6	319.2	31.8
75	Blue	6931	11095	359	185.6	149.6	335.2	23.8
76	Red	11316	7149	459	215.1	233.3	448.4	10.6
76	Blue	5485	8719	353	225.5	114.3	339.7	13.3
77	Red	9862	7129	326	119.2	192.7	311.9	14.1
77	Blue	252	10435	427	116.5	264.7	381.2	45.8
78	Red	11302	6369	391	131.6	172.5	304.1	86.9
78	Blue	10030	14270	523	167.9	301.8	469.7	53.3
79	Red	6051	9794	288	104.1	180.9	284.9	3.1
79	Blue	10918	4177	237	210.4	162.6	373.1	-136.1
80	Red	14568	8528	168	132.1	56.4	188.5	-20.5
80	Blue	4174	16142	328	179.8	104.0	283.8	44.2
81	Red	4347	14568	188	158.9	132.1	291.0	-103.0
81	Blue	9956	11184	226	180.4	68.9	249.3	-23.3
82	Red	5037	14320	354	140.5	168.6	309.1	44.9
82	Blue	9794	11316	397	180.9	215.1	395.9	1.1
83	Red	3216	6369	308	121.3	172.5	293.8	14.2
83	Blue	3763	9445	228	190.3	115.8	306.0	-78.0
84	Red	11302	4318	321	131.6	142.4	274.1	46.9
84	Blue	5485	4177	423	225.5	162.6	388.1	34.9
85	Red	8479	5143	491	282.2	157.8	440.0	51.0
85	Blue	10091	7129	478	237.6	192.7	430.3	47.7
86	Red	8719	6055	409	114.3	212.0	326.3	82.7
86	Blue	4174	10435	257	179.8	264.7	444.6	-187.6
87	Red	12773	12589	368	122.0	233.2	355.2	12.8
87	Blue	16142	10030	273	104.0	167.9	271.9	1.1
88	Red	10144	9890	240	196.6	71.4	268.0	-28.0
